prop ,support_ontology ,support_concept_scheme ,
http://purl.org/vocab/vann/prefferedNamespacePrefix ,1,0,
http://purl.org/vocab/vann/prefferedNamespaceURI ,1,0,
http://purl.org/vocommons/voaf#exampleDataset ,1,0,
http://purl.org/vocommons/voaf#preferredNamespacePrefix ,1,0,
http://purl.org/vocommons/voaf#preferredNamespaceUri ,1,0,
http://rdfs.org/ns/void#distinctObjects ,1,0,
http://rdfs.org/ns/void#distinctSubjects ,1,0,
http://schema.org/alternateName ,1,0,
http://schema.org/description ,1,0,
http://schema.org/logo ,1,0,
http://semanticscience.org/resource/SIO_000563 ,1,0,
http://topbraid.org/metadata#identifier ,1,0,
http://topbraid.org/metadata#keyword ,1,0,
http://topbraid.org/metadata#officialName ,1,0,
http://topbraid.org/raci#responsible ,1,0,
http://topbraid.org/teamwork#newInstancesUserCannotModifyURI ,1,0,
http://uri.interlex.org/MIRO/uris/readable/axiom_patterns ,1,0,
http://uri.interlex.org/MIRO/uris/readable/competition ,1,0,
http://uri.interlex.org/MIRO/uris/readable/dereferenceable_iris ,1,0,
http://uri.interlex.org/MIRO/uris/readable/development_community ,1,0,
http://uri.interlex.org/MIRO/uris/readable/development_environment ,1,0,
http://uri.interlex.org/MIRO/uris/readable/entity_deprecation_strategy ,1,0,
http://uri.interlex.org/MIRO/uris/readable/entity_metadata_policy ,1,0,
http://uri.interlex.org/MIRO/uris/readable/entity_naming_convention ,1,0,
http://uri.interlex.org/MIRO/uris/readable/evaluation ,1,0,
http://uri.interlex.org/MIRO/uris/readable/example_of_use ,1,0,
http://uri.interlex.org/MIRO/uris/readable/identifier_generation_policy ,1,0,
http://uri.interlex.org/MIRO/uris/readable/knowledge_acquisition_methodology ,1,0,
http://uri.interlex.org/MIRO/uris/readable/knowledge_representation_language ,1,0,
http://uri.interlex.org/MIRO/uris/readable/methodological_framework ,1,0,
http://uri.interlex.org/MIRO/uris/readable/need ,1,0,
http://uri.interlex.org/MIRO/uris/readable/scope_and_coverage ,1,0,
http://uri.interlex.org/MIRO/uris/readable/source_knowledge_location ,1,0,
http://uri.interlex.org/MIRO/uris/readable/sustainability_plan ,1,0,
http://uri.interlex.org/MIRO/uris/readable/testing ,1,0,
http://uri.interlex.org/MIRO/uris/readable/versioning_policy ,1,0,
http://uri.interlex.org/tgbugs/uris/readable/indexNamespace ,1,0,
http://urigen_local_uri/87b807e4-4286-46f3-89f6-f67df1657fdc#EFO_0000009 ,1,0,
http://usefulinc.com/ns/doap#GitRespository ,1,0,
http://usefulinc.com/ns/doap#SVNRepository ,1,0,
http://usefulinc.com/ns/doap#Version ,1,0,
http://usefulinc.com/ns/doap#audience ,1,0,
http://usefulinc.com/ns/doap#implements ,1,0,
http://vocab.ciudadesabiertas.es/def/sector-publico/agenda-municipal#preferredNamespacePrefix ,1,0,
http://vocab.ciudadesabiertas.es/def/sector-publico/agenda-municipal#preferredNamespaceUri ,1,0,
http://vocab.org/vann/preferredNamespacePrefix ,1,0,
http://vocab.org/vann/preferredNamespaceUri ,1,0,
http://www.coinsweb.nl/cbim-2.0.rdf#creationDate ,1,0,
http://www.coinsweb.nl/cbim-2.0.rdf#creator ,1,0,
http://www.geneontology.org/formats/oboInOwl#?format-version ,1,0,
http://www.geneontology.org/formats/oboInOwl#?mat-version ,1,0,
http://www.geneontology.org/formats/oboInOwl#created_by ,1,0,
http://www.geneontology.org/formats/oboInOwl#data-version ,1,0,
http://www.geneontology.org/formats/oboInOwl#hasSubset ,1,0,
http://www.geneontology.org/formats/oboInOwl#mat-version ,1,0,
http://www.geneontology.org/formats/oboInOwl#savedBy ,1,0,
http://www.geneontology.org/formats/oboInOwl#treat-xrefs-as-has-subclass ,1,0,
http://www.geneontology.org/formats/oboInOwl#treat-xrefs-as-reverse-genus-differentia ,1,0,
http://www.geneontology.org/formats/oboInOwl#typeref ,1,0,
http://www.isibang.ac.in/ns/mod#browsingUI ,1,0,
http://www.isibang.ac.in/ns/mod#competencyQuestion ,1,0,
http://www.linkedmodel.org/schema/vaem#hasAspectScope ,1,0,
http://www.linkedmodel.org/schema/vaem#hasDisciplineScope ,1,0,
http://www.linkedmodel.org/schema/vaem#hasDomainScope ,1,0,
http://www.linkedmodel.org/schema/vaem#hasGraphRole ,1,0,
http://www.linkedmodel.org/schema/vaem#hasRole ,1,0,
http://www.linkedmodel.org/schema/vaem#name ,1,0,
http://www.linkedmodel.org/schema/vaem#rationale ,1,0,
http://www.linkedmodel.org/schema/vaem#revision ,1,0,
http://www.linkedmodel.org/schema/vaem#withAttributionTo ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/addressForComments ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/directSource ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/isNormative ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/keyword ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/priorVersion ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/responsibleTaskForce ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/specificationAbbreviation ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/specificationAbstract ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/specificationTitle ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/specificationURL ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/specificationVersionStatus ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/specificationVersionURL ,1,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/topicArea ,1,0,
http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#hasUnitTest ,1,0,
http://www.referent-tracking.com/RTS_00000001 ,1,0,
http://www.referent-tracking.com/RTS_00000002 ,1,0,
http://www.semanticweb.org/angelmariages/ontologies/2022/3/untitled-ontology-12#eg:author ,1,0,
http://www.semanticweb.org/mpuebla/ontologies/2015/8/OntologyOfSpatialObject#creators ,1,0,
