voc ,dist ,date 
https://w3id.org/vocab/olca ,https://lov.linkeddata.es/dataset/lov/vocabs/olca/versions/2013-02-07.n3 ,2013-02-07
http://linkedscience.org/teach/ns# ,https://lov.linkeddata.es/dataset/lov/vocabs/teach/versions/2012-06-27.n3 ,2012-06-27
http://www.semanticdesktop.org/ontologies/2007/03/22/nco ,https://lov.linkeddata.es/dataset/lov/vocabs/nco/versions/2007-03-22.n3 ,2007-03-22
http://www.semanticdesktop.org/ontologies/2007/03/22/nco ,https://lov.linkeddata.es/dataset/lov/vocabs/nco/versions/2012-07-06.n3 ,2012-07-06
http://purl.org/saws/ontology ,https://lov.linkeddata.es/dataset/lov/vocabs/saws/versions/2012-12-18.n3 ,2012-12-18
http://purl.oclc.org/NET/mvco.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/mvco/versions/2010-05-07.n3 ,2010-05-07
http://purl.org/spar/biro ,https://lov.linkeddata.es/dataset/lov/vocabs/biro/versions/2012-07-03.n3 ,2012-07-03
http://purl.org/lobid/lv ,https://lov.linkeddata.es/dataset/lov/vocabs/lv/versions/2014-05-22.n3 ,2014-05-22
http://rdf.myexperiment.org/ontologies/base/ ,https://lov.linkeddata.es/dataset/lov/vocabs/meb/versions/2012-11-28.n3 ,2012-11-28
http://rdf.myexperiment.org/ontologies/base/ ,https://lov.linkeddata.es/dataset/lov/vocabs/meb/versions/2012-04-24.n3 ,2012-04-24
http://rdf.myexperiment.org/ontologies/base/ ,https://lov.linkeddata.es/dataset/lov/vocabs/meb/versions/2013-03-26.n3 ,2013-03-26
http://reference.data.gov.uk/def/organogram ,https://lov.linkeddata.es/dataset/lov/vocabs/odv/versions/2011-06-11.n3 ,2011-06-11
http://purl.org/pav/ ,https://lov.linkeddata.es/dataset/lov/vocabs/pav/versions/2009-01-13.n3 ,2009-01-13
http://www.w3.org/ns/csvw# ,https://lov.linkeddata.es/dataset/lov/vocabs/csvw/versions/2015-12-17.n3 ,2015-12-17
http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1 ,https://lov.linkeddata.es/dataset/lov/vocabs/d2rq/versions/2007-10-24.n3 ,2007-10-24
http://purl.org/lobid/lv ,https://lov.linkeddata.es/dataset/lov/vocabs/lv/versions/2012-03-02.n3 ,2012-03-02
http://umbel.org/umbel ,https://lov.linkeddata.es/dataset/lov/vocabs/umbel/versions/2010-11-15.n3 ,2010-11-15
http://purl.org/NET/biol/ns# ,https://lov.linkeddata.es/dataset/lov/vocabs/biol/versions/2008-05-13.n3 ,2008-05-13
http://open-services.net/ns/asset# ,https://lov.linkeddata.es/dataset/lov/vocabs/am/versions/2012-08-24.n3 ,2012-08-24
http://ndl.go.jp/dcndl/terms/ ,https://lov.linkeddata.es/dataset/lov/vocabs/dcndl/versions/2011-12-01.n3 ,2011-12-01
http://www.ontologydesignpatterns.org/ont/lmm/LMM_L1.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/lmm1/versions/2010-02-05.n3 ,2010-02-05
http://purl.org/vocab/frbr/core ,https://lov.linkeddata.es/dataset/lov/vocabs/frbr/versions/2009-05-16.n3 ,2009-05-16
http://environment.data.gov.au/def/op ,https://lov.linkeddata.es/dataset/lov/vocabs/op/versions/2014-02-05.n3 ,2014-02-05
http://www.gsi.dit.upm.es/ontologies/marl/ns ,https://lov.linkeddata.es/dataset/lov/vocabs/marl/versions/2011-03-13.n3 ,2011-03-13
http://www.linkedmodel.org/schema/dtype ,https://lov.linkeddata.es/dataset/lov/vocabs/dtype/versions/2011-05-29.n3 ,2011-05-29
http://def.seegrid.csiro.au/isotc211/iso19115/2003/metadata ,https://lov.linkeddata.es/dataset/lov/vocabs/md/versions/2013-11-14.n3 ,2013-11-14
http://purl.org/net/wf-motifs ,https://lov.linkeddata.es/dataset/lov/vocabs/wfm/versions/2013-03-15.n3 ,2013-03-15
http://spinrdf.org/sp ,https://lov.linkeddata.es/dataset/lov/vocabs/sp/versions/2013-09-13.n3 ,2013-09-13
http://purl.org/goodrelations/v1 ,https://lov.linkeddata.es/dataset/lov/vocabs/gr/versions/2011-10-01.n3 ,2011-10-01
http://w3id.org/medred/medred# ,https://lov.linkeddata.es/dataset/lov/vocabs/medred/versions/2017-05-08.n3 ,2017-05-08
http://purl.org/vocab/bio/0.1/ ,https://lov.linkeddata.es/dataset/lov/vocabs/bio/versions/2009-05-19.n3 ,2009-05-19
http://ns.inria.fr/nrv ,https://lov.linkeddata.es/dataset/lov/vocabs/nrv/versions/2017-08-08.n3 ,2017-08-08
http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/ontosec/versions/2013-05-22.n3 ,2013-05-22
http://purl.org/net/ns/ontology-annot ,https://lov.linkeddata.es/dataset/lov/vocabs/ont/versions/2007-11-07.n3 ,2007-11-07
http://ontology.it/itsmo/v1 ,https://lov.linkeddata.es/dataset/lov/vocabs/itsmo/versions/2012-07-20.n3 ,2012-07-20
http://ontology.it/itsmo/v1 ,https://lov.linkeddata.es/dataset/lov/vocabs/itsmo/versions/2012-11-04.n3 ,2012-11-04
http://ontology.it/itsmo/v1 ,https://lov.linkeddata.es/dataset/lov/vocabs/itsmo/versions/2012-08-31.n3 ,2012-08-31
http://ontology.it/itsmo/v1 ,https://lov.linkeddata.es/dataset/lov/vocabs/itsmo/versions/2012-09-26.n3 ,2012-09-26
http://ontology.it/itsmo/v1 ,https://lov.linkeddata.es/dataset/lov/vocabs/itsmo/versions/2012-06-01.n3 ,2012-06-01
http://www.kanzaki.com/ns/whois ,https://lov.linkeddata.es/dataset/lov/vocabs/whois/versions/2007-10-13.n3 ,2007-10-13
http://www.wsmo.org/ns/wsmo-lite# ,https://lov.linkeddata.es/dataset/lov/vocabs/wl/versions/2009-04-22.n3 ,2009-04-22
http://www.wsmo.org/ns/wsmo-lite# ,https://lov.linkeddata.es/dataset/lov/vocabs/wl/versions/2013-05-30.n3 ,2013-05-30
http://purl.oclc.org/NET/ldr/ns# ,https://lov.linkeddata.es/dataset/lov/vocabs/ldr/versions/2014-08-30.n3 ,2014-08-30
https://saref.etsi.org/core/ ,https://lov.linkeddata.es/dataset/lov/vocabs/saref/versions/2015-04-01.n3 ,2015-04-01
http://spitfire-project.eu/ontology/ns ,https://lov.linkeddata.es/dataset/lov/vocabs/spt/versions/2014-01-14.n3 ,2014-01-14
http://schema.org/ ,https://lov.linkeddata.es/dataset/lov/vocabs/schema/versions/2013-04-05.n3 ,2013-04-05
http://www.w3.org/ns/dcat ,https://lov.linkeddata.es/dataset/lov/vocabs/dcat/versions/2014-05-31.n3 ,2014-05-31
http://www.w3.org/ns/dcat ,https://lov.linkeddata.es/dataset/lov/vocabs/dcat/versions/2012-04-24.n3 ,2012-04-24
http://www.w3.org/ns/dcat ,https://lov.linkeddata.es/dataset/lov/vocabs/dcat/versions/2014-02-07.n3 ,2014-02-07
http://www.w3.org/ns/dcat ,https://lov.linkeddata.es/dataset/lov/vocabs/dcat/versions/2013-11-05.n3 ,2013-11-05
http://www.w3.org/ns/dcat ,https://lov.linkeddata.es/dataset/lov/vocabs/dcat/versions/2013-09-20.n3 ,2013-09-20
http://resource.geosciml.org/ontology/timescale/gts ,https://lov.linkeddata.es/dataset/lov/vocabs/gts/versions/2012-07-26.n3 ,2012-07-26
http://www.essepuntato.it/2013/03/cito-functions ,https://lov.linkeddata.es/dataset/lov/vocabs/citof/versions/2013-05-07.n3 ,2013-05-07
http://iserve.kmi.open.ac.uk/ns/hrests ,https://lov.linkeddata.es/dataset/lov/vocabs/hr/versions/2013-05-08.n3 ,2013-05-08
http://iserve.kmi.open.ac.uk/ns/hrests ,https://lov.linkeddata.es/dataset/lov/vocabs/hr/versions/2013-10-23.n3 ,2013-10-23
http://iserve.kmi.open.ac.uk/ns/hrests ,https://lov.linkeddata.es/dataset/lov/vocabs/hr/versions/2010-03-10.n3 ,2010-03-10
http://schema.org/ ,https://lov.linkeddata.es/dataset/lov/vocabs/schema/versions/2015-11-05.n3 ,2015-11-05
http://lemon-model.net/lemon ,https://lov.linkeddata.es/dataset/lov/vocabs/lemon/versions/2014-05-26.n3 ,2014-05-26
http://purl.org/dpn ,https://lov.linkeddata.es/dataset/lov/vocabs/dpn/versions/2015-08-05.n3 ,2015-08-05
https://data.nasa.gov/ontologies/atmonto/equipment# ,https://lov.linkeddata.es/dataset/lov/vocabs/eqp/versions/2018-03-28.n3 ,2018-03-28
http://www.ebu.ch/metadata/ontologies/ebucore/ebucore ,https://lov.linkeddata.es/dataset/lov/vocabs/ebucore/versions/2013-02-01.n3 ,2013-02-01
http://rhizomik.net/ontologies/copyrightonto.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/cro/versions/2009-09-30.n3 ,2009-09-30
http://biohackathon.org/resource/faldo ,https://lov.linkeddata.es/dataset/lov/vocabs/faldo/versions/2012-09-07.n3 ,2012-09-07
http://www.ontotext.com/proton/protonext ,https://lov.linkeddata.es/dataset/lov/vocabs/pext/versions/2014-01-28.n3 ,2014-01-28
http://www.lingvoj.org/semio.rdf ,https://lov.linkeddata.es/dataset/lov/vocabs/semio/versions/2008-07-15.n3 ,2008-07-15
http://umbel.org/umbel ,https://lov.linkeddata.es/dataset/lov/vocabs/umbel/versions/2009-08-21.n3 ,2009-08-21
http://umbel.org/umbel ,https://lov.linkeddata.es/dataset/lov/vocabs/umbel/versions/2012-12-21.n3 ,2012-12-21
http://umbel.org/umbel ,https://lov.linkeddata.es/dataset/lov/vocabs/umbel/versions/2014-08-28.n3 ,2014-08-28
http://umbel.org/umbel ,https://lov.linkeddata.es/dataset/lov/vocabs/umbel/versions/2012-05-21.n3 ,2012-05-21
http://umbel.org/umbel ,https://lov.linkeddata.es/dataset/lov/vocabs/umbel/versions/2011-02-10.n3 ,2011-02-10
http://umbel.org/umbel ,https://lov.linkeddata.es/dataset/lov/vocabs/umbel/versions/2008-09-03.n3 ,2008-09-03
https://w3id.org/vocab/lingvoj ,https://lov.linkeddata.es/dataset/lov/vocabs/lingvo/versions/2014-01-17.n3 ,2014-01-17
http://vocab.deri.ie/raul ,https://lov.linkeddata.es/dataset/lov/vocabs/raul/versions/2013-02-22.n3 ,2013-02-22
http://labs.mondeca.com/vocab/endpointStatus ,https://lov.linkeddata.es/dataset/lov/vocabs/ends/versions/2011-02-24.n3 ,2011-02-24
http://linkedscience.org/lsc/ns# ,https://lov.linkeddata.es/dataset/lov/vocabs/lsc/versions/2011-11-29.n3 ,2011-11-29
http://purl.org/archival/vocab/arch ,https://lov.linkeddata.es/dataset/lov/vocabs/arch/versions/2012-07-03.n3 ,2012-07-03
http://purl.org/ontology/pbo/core# ,https://lov.linkeddata.es/dataset/lov/vocabs/pbo/versions/2010-08-04.n3 ,2010-08-04
http://purl.org/biodiversity/taxon/ ,https://lov.linkeddata.es/dataset/lov/vocabs/taxon/versions/2012-09-10.n3 ,2012-09-10
http://paul.staroch.name/thesis/SmartHomeWeather.owl# ,https://lov.linkeddata.es/dataset/lov/vocabs/shw/versions/2014-01-14.n3 ,2014-01-14
http://www.ontologydesignpatterns.org/cp/owl/timeindexedsituation.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/tis/versions/2011-01-30.n3 ,2011-01-30
http://purl.org/qb4olap/cubes ,https://lov.linkeddata.es/dataset/lov/vocabs/qb4o/versions/2015-05-17.n3 ,2015-05-17
http://dati.beniculturali.it/cultural-ON/cultural-ON.owl ,https://lov.linkeddata.es/dataset/lov/vocabs/cis/versions/2016-03-30.n3 ,2016-03-30
http://purl.org/ctic/empleo/oferta ,https://lov.linkeddata.es/dataset/lov/vocabs/emp/versions/2012-09-01.n3 ,2012-09-01
http://www.w3.org/ns/person ,https://lov.linkeddata.es/dataset/lov/vocabs/person/versions/2013-11-16.n3 ,2013-11-16
http://www.w3.org/ns/person ,https://lov.linkeddata.es/dataset/lov/vocabs/person/versions/2013-12-21.n3 ,2013-12-21
http://www.w3.org/ns/person ,https://lov.linkeddata.es/dataset/lov/vocabs/person/versions/2014-06-19.n3 ,2014-06-19
http://contextus.net/ontology/ontomedia/core/expression# ,https://lov.linkeddata.es/dataset/lov/vocabs/oc/versions/2005-05-03.n3 ,2005-05-03
http://environment.data.gov.au/def/op ,https://lov.linkeddata.es/dataset/lov/vocabs/op/versions/2013-12-03.n3 ,2013-12-03
http://environment.data.gov.au/def/op ,https://lov.linkeddata.es/dataset/lov/vocabs/op/versions/2016-02-28.n3 ,2016-02-28
